genetic_load,nrow_dat_HIGH,length_filtered_SV,percentage_NA,length_liftover,standardized_genetic_load,pop,id
576,14721,314829,0.009714014,30741139,1.89E-05,MOPdsy,DSY-1
666,14721,314829,0.011004687,30741139,2.19E-05,MOPdsy,DSY-2
706,14721,314829,0.010597106,30741139,2.32E-05,MOPdsy,DSY-3
655,14721,314829,0.010732967,30741139,2.15E-05,MOPdsy,DSY-4
651,14721,314829,0.010936757,30741139,2.14E-05,MOPdsy,DSY-5
715,14721,314829,0.012635011,30741139,2.36E-05,MOPdsy,DSY-6
635,14721,314829,0.009714014,30741139,2.09E-05,MOPdsy,DSY-7
643,14721,314829,0.009917804,30741139,2.11E-05,MOPfq_pt,FJ-1
1067,14721,314829,0.083010665,30741139,3.79E-05,MOPgl,GL-1
282,14721,314829,0.575164731,30741139,2.16E-05,MOPgl,GL-2
425,14721,314829,0.390190884,30741139,2.27E-05,MOPgl,GL-3
1098,14721,314829,0.044154609,30741139,3.74E-05,MOPgl,GL-4
1415,14721,314829,0.027511718,30741139,4.73E-05,MHKhk,HK-1
573,14721,314829,0.105971062,30741139,2.08E-05,MHKhk,HK-2
1967,14721,314829,0.077983833,30741139,6.94E-05,MHKhk,HK-3
688,14721,314829,0.061680592,30741139,2.39E-05,MHKhn,HN-1
773,14721,314829,0.009781944,30741139,2.54E-05,MHKhn,HN-2
783,14721,314829,0.010868827,30741139,2.58E-05,MHKhn,HN-3
773,14721,314829,0.009442293,30741139,2.54E-05,MHKhn,HN-4
823,14721,314829,0.011072617,30741139,2.71E-05,MHKhn,HN-5
763,14721,314829,0.009238503,30741139,2.51E-05,MHKhn,HN-6
779,14721,314829,0.009849874,30741139,2.56E-05,MHKhn,HN-7
766,14721,314829,0.009578154,30741139,2.52E-05,MHKhn,HN-8
650,14721,314829,0.009646084,30741139,2.14E-05,MHKjx,JX-1
684,14721,314829,0.010189525,30741139,2.25E-05,MHKjx,JX-2
723,14721,314829,0.011480198,30741139,2.38E-05,MHKjx,JX-3
669,14721,314829,0.008966782,30741139,2.20E-05,MHKjx,JX-4
585,14721,314829,0.009170573,30741139,1.92E-05,MHKmls_pop1,MHKmls-1
593,14721,314829,0.008762992,30741139,1.95E-05,MHKmls_pop1,MHKmls-10
593,14721,314829,0.008559201,30741139,1.95E-05,MHKmls_pop1,MHKmls-11
588,14721,314829,0.009917804,30741139,1.93E-05,MHKmls_pop1,MHKmls-12
584,14721,314829,0.008898852,30741139,1.92E-05,MHKmls_pop2,MHKmls-13
584,14721,314829,0.008762992,30741139,1.92E-05,MHKmls_pop2,MHKmls-14
583,14721,314829,0.008830922,30741139,1.91E-05,MHKmls_pop2,MHKmls-15
588,14721,314829,0.008898852,30741139,1.93E-05,MHKmls_pop2,MHKmls-16
599,14721,314829,0.008695061,30741139,1.97E-05,MHKmls_pop1,MHKmls-17
581,14721,314829,0.009170573,30741139,1.91E-05,MHKmls_pop1,MHKmls-18
599,14721,314829,0.0121595,30741139,1.97E-05,MHKmls_pop1,MHKmls-19
637,14721,314829,0.015691869,30741139,2.11E-05,MHKmls_pop2,MHKmls-2
565,14721,314829,0.008491271,30741139,1.85E-05,MHKmls_pop1,MHKmls-20
571,14721,314829,0.009102642,30741139,1.87E-05,MHKmls_pop1,MHKmls-21
587,14721,314829,0.009034712,30741139,1.93E-05,MHKmls_pop2,MHKmls-22
586,14721,314829,0.008966782,30741139,1.92E-05,MHKmls_pop2,MHKmls-3
597,14721,314829,0.009374363,30741139,1.96E-05,MHKmls_pop2,MHKmls-4
582,14721,314829,0.009306433,30741139,1.91E-05,MHKmls_pop2,MHKmls-5
579,14721,314829,0.008491271,30741139,1.90E-05,MHKmls_pop2,MHKmls-6
582,14721,314829,0.008762992,30741139,1.91E-05,MHKmls_pop2,MHKmls-7
585,14721,314829,0.008627131,30741139,1.92E-05,MHKmls_pop2,MHKmls-8
606,14721,314829,0.011480198,30741139,1.99E-05,MHKmls_pop2,MHKmls-9
522,14721,314829,0.008423341,30741139,1.71E-05,MHKmlh_qns,MHKqns-1
529,14721,314829,0.008695061,30741139,1.74E-05,MHKmlh_qns,MHKqns-2
521,14721,314829,0.008491271,30741139,1.71E-05,MHKmlh_qns,MHKqns-3
623,14721,314829,0.014469126,30741139,2.06E-05,MOPdxs_sg,MOPdxs-1
