genetic_load,nrow_dat_HIGH,length_filtered_SV,percentage_NA,length_liftover,standardized_genetic_load,pop,id
20,1454,222228,0.000687758,30740925,6.51E-07,MOPdsy,DSY-1
23,1454,222228,0.002063274,30740925,7.50E-07,MOPdsy,DSY-2
24,1454,222228,0.002063274,30740925,7.82E-07,MOPdsy,DSY-3
21,1454,222228,0.001375516,30740925,6.84E-07,MOPdsy,DSY-4
23,1454,222228,0.000687758,30740925,7.49E-07,MOPdsy,DSY-5
21,1454,222228,0.002751032,30740925,6.85E-07,MOPdsy,DSY-6
29,1454,222228,0,30740925,9.43E-07,MOPdsy,DSY-7
24,1454,222228,0,30740925,7.81E-07,MOPfq_pt,FJ-1
83,1454,222228,0.072902338,30740925,2.91E-06,MOPgl,GL-1
24,1454,222228,0.613480055,30740925,2.02E-06,MOPgl,GL-2
38,1454,222228,0.387207703,30740925,2.02E-06,MOPgl,GL-3
54,1454,222228,0.043328748,30740925,1.84E-06,MOPgl,GL-4
79,1454,222228,0.021320495,30740925,2.63E-06,MHKhk,HK-1
38,1454,222228,0.10866575,30740925,1.39E-06,MHKhk,HK-2
217,1454,222228,0.064649243,30740925,7.55E-06,MHKhk,HK-3
25,1454,222228,0.035763411,30740925,8.43E-07,MHKhn,HN-1
24,1454,222228,0.001375516,30740925,7.82E-07,MHKhn,HN-2
22,1454,222228,0.002751032,30740925,7.18E-07,MHKhn,HN-3
25,1454,222228,0.002063274,30740925,8.15E-07,MHKhn,HN-4
25,1454,222228,0,30740925,8.13E-07,MHKhn,HN-5
23,1454,222228,0.000687758,30740925,7.49E-07,MHKhn,HN-6
22,1454,222228,0.002063274,30740925,7.17E-07,MHKhn,HN-7
26,1454,222228,0.002063274,30740925,8.48E-07,MHKhn,HN-8
24,1454,222228,0.000687758,30740925,7.81E-07,MHKjx,JX-1
24,1454,222228,0.000687758,30740925,7.81E-07,MHKjx,JX-2
27,1454,222228,0.002063274,30740925,8.80E-07,MHKjx,JX-3
24,1454,222228,0,30740925,7.81E-07,MHKjx,JX-4
18,1454,222228,0.000687758,30740925,5.86E-07,MHKmls_pop1,MHKmls-1
18,1454,222228,0.001375516,30740925,5.86E-07,MHKmls_pop1,MHKmls-10
18,1454,222228,0,30740925,5.86E-07,MHKmls_pop1,MHKmls-11
18,1454,222228,0.002063274,30740925,5.87E-07,MHKmls_pop1,MHKmls-12
15,1454,222228,0.001375516,30740925,4.89E-07,MHKmls_pop2,MHKmls-13
17,1454,222228,0,30740925,5.53E-07,MHKmls_pop2,MHKmls-14
18,1454,222228,0.000687758,30740925,5.86E-07,MHKmls_pop2,MHKmls-15
17,1454,222228,0,30740925,5.53E-07,MHKmls_pop2,MHKmls-16
18,1454,222228,0.000687758,30740925,5.86E-07,MHKmls_pop1,MHKmls-17
18,1454,222228,0.002063274,30740925,5.87E-07,MHKmls_pop1,MHKmls-18
18,1454,222228,0.005502063,30740925,5.89E-07,MHKmls_pop1,MHKmls-19
16,1454,222228,0.011004127,30740925,5.26E-07,MHKmls_pop2,MHKmls-2
18,1454,222228,0,30740925,5.86E-07,MHKmls_pop1,MHKmls-20
19,1454,222228,0,30740925,6.18E-07,MHKmls_pop1,MHKmls-21
16,1454,222228,0,30740925,5.20E-07,MHKmls_pop2,MHKmls-22
19,1454,222228,0,30740925,6.18E-07,MHKmls_pop2,MHKmls-3
18,1454,222228,0.000687758,30740925,5.86E-07,MHKmls_pop2,MHKmls-4
16,1454,222228,0.000687758,30740925,5.21E-07,MHKmls_pop2,MHKmls-5
17,1454,222228,0,30740925,5.53E-07,MHKmls_pop2,MHKmls-6
17,1454,222228,0.000687758,30740925,5.53E-07,MHKmls_pop2,MHKmls-7
19,1454,222228,0,30740925,6.18E-07,MHKmls_pop2,MHKmls-8
21,1454,222228,0.005502063,30740925,6.87E-07,MHKmls_pop2,MHKmls-9
15,1454,222228,0,30740925,4.88E-07,MHKmlh_qns,MHKqns-1
15,1454,222228,0,30740925,4.88E-07,MHKmlh_qns,MHKqns-2
15,1454,222228,0,30740925,4.88E-07,MHKmlh_qns,MHKqns-3
20,1454,222228,0.007565337,30740925,6.56E-07,MOPdxs_sg,MOPdxs-1
22,1454,222228,0.010316369,30740925,7.23E-07,MOPdxs_sg,MOPdxs-2
19,1454,222228,0.00343879,30740925,6.20E-07,MOPhn,MOPhn-1
20,1454,222228,0,30740925,6.51E-07,MOPhn,MOPhn-2
23,1454,222228,0.014442916,30740925,7.59E-07,MOPhn,MOPhn-3
23,1454,222228,0.012379642,30740925,7.58E-07,MOPhn,MOPhn-4
24,1454,222228,0.006877579,30740925,7.86E-07,MOPhn,MOPhn-5
21,1454,222228,0,30740925,6.83E-07,MOPhn,MOPhn-6
21,1454,222228,0.0130674,30740925,6.92E-07,MOPhn,MOPhn-7
35,1454,222228,0.043328748,30740925,1.19E-06,MOPld,MOPld-1
23,1454,222228,0.000687758,30740925,7.49E-07,MOPld,MOPld-2
23,1454,222228,0.000687758,30740925,7.49E-07,MOPld,MOPld-3
23,1454,222228,0.001375516,30740925,7.49E-07,MOPld,MOPld-4
26,1454,222228,0,30740925,8.46E-07,MOPld,MOPld-5
28,1454,222228,0.005502063,30740925,9.16E-07,MOPdxs_sg,MOPsg-1
22,1454,222228,0.002063274,30740925,7.17E-07,MOPdxs_sg,MOPsg-2
22,1454,222228,0.0130674,30740925,7.25E-07,MOPdxs_sg,MOPsg-3
22,1454,222228,0.005502063,30740925,7.20E-07,MOPdxs_sg,MOPsg-4
23,1454,222228,0.00343879,30740925,7.51E-07,MOPdxs_sg,MOPsg-5
23,1454,222228,0.002063274,30740925,7.50E-07,MOPdxs_sg,MOPsg-6
21,1454,222228,0.005502063,30740925,6.87E-07,MOPdxs_sg,MOPsg-7
22,1454,222228,0.001375516,30740925,7.17E-07,MOPdxs_sg,MOPsg-8
22,1454,222228,0.000687758,30740925,7.16E-07,MOPfq_pt,PT-1
22,1454,222228,0.001375516,30740925,7.17E-07,MOPfq_pt,PT-2
13,1454,222228,0,30740925,4.23E-07,MHKmlh_qns,SZ-1
14,1454,222228,0.000687758,30740925,4.56E-07,MHKmlh_qns,SZ-2
14,1454,222228,0.011691884,30740925,4.61E-07,MHKmlh_qns,SZ-3
14,1454,222228,0.002063274,30740925,4.56E-07,MHKmlh_qns,SZ-4
24,1454,222228,0.006189821,30740925,7.86E-07,MOPyn,YN-mop1
29,1454,222228,0.030261348,30740925,9.73E-07,MOPyn,YN-mop2
25,1454,222228,0.012379642,30740925,8.23E-07,MOPyn,YN-mop3
28,1454,222228,0.027510316,30740925,9.37E-07,MOPyn,YN-mop4
19,1454,222228,0.00343879,30740925,6.20E-07,MOPyn,YN-mop5
